,vehicle,trip_counter,start_odometer,end_odometer,trip_distance,avg_speed,max_speed,trip_distance_verify,start_trip_time,end_trip_time,trip_duration,trip_duration_verify,start_soc,last_soc,delta_soc,avg_soc,time_sum_discharge_current_pos_eco,avg_discharge_current_pos_eco,sum_pos_energy_kwh_eco,avg_dc_voltage_drive_eco,trip_distance_pos_charge_current_eco,avg_soc_pos_charge_current_eco,time_sum_regen_current_eco,avg_regen_current_eco,sum_regen_energy_kwh_eco,avg_regen_dc_voltage_drive_eco,trip_distance_regen_charge_current_eco,avg_soc_regen_charge_current_eco,time_sum_discharge_current_pos_power,avg_discharge_current_pos_power,sum_pos_energy_kwh_power,avg_dc_voltage_drive_power,trip_distance_pos_charge_current_power,avg_soc_pos_charge_current_power,time_sum_regen_current_power,avg_regen_current_power,sum_regen_energy_kwh_power,avg_regen_dc_voltage_drive_power,trip_distance_regen_charge_current_power,avg_soc_regen_charge_current_power,total_vehicle_idle_time_power,avg_discharge_current_idle_power,avg_dc_voltage_idle_power,avg_soc_idle_power,total_vehicle_idle_time_eco,avg_discharge_current_idle_eco,avg_dc_voltage_idle_eco,avg_soc_idle_eco,total_vehicle_idle_time_idle,avg_discharge_current_idle_idle,avg_dc_voltage_idle_idle,avg_soc_idle_idle,total_vehicle_drive_time_idle,avg_discharge_current_drive_idle,avg_dc_voltage_drive_idle,avg_soc_drive_idle,total_vehicle_regen_time_idle,avg_discharge_current_regen_idle,avg_dc_voltage_regen_idle,avg_soc_regen_idle,max_input_dc_current,min_input_dc_current,avg_dc_voltage,max_dc_voltage,min_dc_voltage,avg_cell_temp,max_cell_temp,min_cell_temp,avg_acceleration_positive,sum_tractive_energy_kwh
count,2914.0,2914.0,2914.0,2914.0,2914.0,2914.0,2914.0,2914.0,2914.0,2914.0,2914.0,2914.0,2914.0,2914.0,2914.0,2914.0,2914.0,2759.0,2914.0,2742.0,2914.0,2742.0,2914.0,2658.0,2914.0,2640.0,2914.0,2640.0,2914.0,2759.0,2914.0,749.0,2914.0,749.0,2914.0,2658.0,2914.0,625.0,2914.0,625.0,2914.0,479.0,479.0,479.0,2914.0,2490.0,2490.0,2490.0,2914.0,1314.0,1314.0,1314.0,2914.0,58.0,58.0,58.0,2914.0,26.0,26.0,26.0,2914.0,2914.0,2914.0,2914.0,2914.0,2914.0,2914.0,2914.0,2744.0,2914.0
mean,862549042331879.0,1527.881949210707,13155.796152394625,13162.039502384345,6.243349989718906,16.741802027753245,9.428990568162192,10.474544122110904,1615948619.1149623,1615950545.0792725,1925.964310226493,1938.7110501029513,67.23369938229239,53.44028826355525,13.793411118737131,60.36031411711533,1018.8345916266301,12.276287383009532,0.2892994958387246,38.63011475511307,5.760189725393251,44.59867802210332,239.96122168840083,-4.959022333999719,-0.025965940999045197,41.0958979677993,1.3075382048049418,46.07892419853654,96.54221002059026,2.60072692869883,0.0626422198121105,42.5227498782638,0.924591696423278,49.143539954352256,22.26286890871654,-1.1236887178115873,-0.006098131322813707,44.17148821529096,0.20813677042888018,50.357701207480154,13.82258064516129,0.0045155734574929265,46.804368465131226,56.87716831071659,166.18874399450925,0.008106505046917064,40.87087326803883,46.37314692115329,89.01098146877145,0.0015927158951545568,35.57523631790217,40.68144629863488,0.29684282772820864,9.483564305880122,27.781004671702547,10.71308491782977,0.05490734385724091,-6.0234079877855455,43.701413009251276,13.43107813845141,49.47366195614402,-8.171394140407822,52.484490780021055,53.67686838023335,48.334235019301744,29.935511692518876,31.010981468771448,27.98043925875086,0.5462639174611111,0.028359643102264923
std,0.0,845.6880662027362,7688.679355031007,7695.618013996857,354.8545892725573,10.103938450430878,5.082441453353831,18.753320258833956,16330476.952916767,16329779.12024102,3311.127781663632,3313.795956580358,25.787373271172786,26.833852697409828,16.39507132378952,25.21851834967158,1978.5600426019346,7.709439689840003,0.7074923562881639,17.755005883614356,13.341489643707032,29.552662046062473,814.6640881945802,3.5966710753250446,0.06572173641411912,18.02381139987264,4.47069446751056,30.026959536988198,269.89504724748485,7.493304981160206,0.18032867100064126,16.288034831639894,2.7577451856259447,28.041289045423266,68.11981488795571,3.2908459487648245,0.019839030436214752,16.042049285105183,0.6757951653981576,27.20051081777942,402.8436908144893,0.03371994885168876,14.713069907105703,28.553487359898266,652.6656140574732,0.03935799515036238,18.52631872571818,31.08152802402978,847.6856697680075,0.02359285428049172,22.069978512270502,34.388636964003275,4.923731073851664,12.00275295013234,23.386475632283734,21.145674270356757,1.4121748613368343,6.78545830494169,17.21988556669792,22.109633940748743,44.528416583454,5.267378142797743,3.1503540318014664,3.61115646332442,11.410665422100621,3.547450438692966,4.531449723010593,9.170878195610976,0.5751317707069081,0.20044283200668236
min,862549042331879.0,0.0,0.0,0.0,-3931.5,0.0,0.0,0.0,1581171704.0,1581171764.0,0.0,4.0,3.0,0.0,-2.0,3.0,0.0,0.0,0.0,0.0879407408376219,0.0,0.0599647266313932,0.0,-24.06380208333333,-1.2128704635422345,0.0,0.0,0.0802292263610315,0.0,0.0,0.0,0.9776941187241498,0.0,0.7843137254901961,0.0,-20.1046875,-0.1348676755322698,0.5550304774943303,0.0,0.4083885209713024,0.0,0.0,0.302849492101765,0.3329279416235938,0.0,0.0,0.0929220956655649,0.0683076923076923,0.0,0.0,0.0919418196244673,0.0,0.0,0.0374723451327433,0.2341592839333863,0.0,0.0,-31.700000762939453,1.1184000287737166,0.0,-4.2421875,-101.5703125,12.668060302734377,6.3504,0.0,20.340036,4.0,0.0,0.0028571428571428,0.0
1%,862549042331879.0,39.129999999999995,104.0,76.0999984741211,0.0,0.0,0.0,0.0,1589581832.44,1589581838.29,0.129999999999999,11.0,10.0,4.0,0.0,8.791317567567567,0.0,0.027344944831248504,0.0,0.6450986336108436,0.0,0.7527389913964198,0.0,-13.926966699218749,-0.18980631932681075,0.7891706800170359,0.0,0.7015123952412,0.0,0.0,0.0,2.4399901872880054,0.0,2.048571545213309,0.0,-15.22787652607926,-0.10361685625141495,2.096297951181665,0.0,2.1971352785145886,0.0,0.0,0.5879644370701003,0.8529145157382731,0.0,0.0,0.7942302543630814,0.7764865835021503,0.0,0.0,0.2466334466355009,0.0,0.0,0.05214293795253412,0.5853814095483498,0.0,0.0,-29.230000615119934,1.1292000206149355,0.0,0.0,-17.20109375,44.83377466705471,45.6288,0.0,23.0,23.0,0.0,0.01284941679626746,0.0
5%,862549042331879.0,202.95000000000002,676.7000122070312,636.4000244140625,0.0,0.6258228291316528,2.5625,0.008034573836657111,1590754573.8,1590755124.35,43.0,60.0,22.0,10.0,0.0,18.84221542054421,0.0,0.870448384629357,0.0,3.0230830536371247,0.0,3.2198392732629726,0.0,-11.804187426457963,-0.1046506735478995,3.156935982832727,0.0,3.2938745359496937,0.0,0.0,0.0,6.491520036969866,0.0,5.0081632653061225,0.0,-10.135003063725492,-0.04920553153870457,6.869318472726004,0.0,5.295774647887324,0.0,0.0,7.691040202549526,6.085714285714285,0.0,0.0,3.013898002062919,2.978996447602132,0.0,0.0,0.9857905320695409,0.6768743047830923,0.0,0.22689732142857139,1.0831955250960128,0.0,0.0,-18.692500233650208,1.290387081424997,0.0,3.1203125000000016,-13.432625198364256,47.56938281425842,48.4512,40.45439910888672,24.766480700000002,25.0,21.0,0.027509907120742975,0.0
10%,862549042331879.0,362.3,2255.2099365234376,2241.05,0.099609375,5.1384906572164954,8.21875,0.1977064985238151,1594648985.3,1594655118.8,123.60000000000002,149.0,31.0,16.0,0.0,26.16530989824237,25.0,1.7549799222594742,0.004930875208726313,6.8822161361004,0.0538998498917979,6.152261517053217,1.0,-10.40269002706753,-0.06608433216073194,7.295295807234086,0.0011611056857638719,6.448571428571428,0.0,0.0,0.0,7.801465219073598,0.0,8.647117794486215,0.0,-3.492777406452785,-0.01451106959724418,8.227096347334603,0.0,9.249261083743846,0.0,0.0,21.773000968873056,10.733333333333334,0.0,0.0,6.965591765372984,5.963957307060755,0.0,0.0,2.2009888954605836,1.9851063829787237,0.0,0.33730208333333334,1.3684508194794527,0.0,0.0,-9.175000309944153,9.38397442397251,0.0,8.84375,-11.943906116485595,48.48587208500615,49.6272,44.45280075073242,25.4809519,26.0,24.0,0.0415947744238883,0.0
50%,862549042331879.0,1530.5,13457.85009765625,13473.599609375,2.80029296875,14.514621936395296,9.7578125,3.61155888744875,1614792882.5,1614794148.0,1031.5,1043.0,65.0,56.0,5.0,60.74390292553191,504.5,11.91046915374677,0.11957958322344965,46.41094177443555,2.1107719977763315,40.66623188316943,88.0,-4.222826727411963,-0.00848438848569985,49.705741545733275,0.3556560360491156,43.679938956714764,0.0,0.0,0.0,49.87693486588724,0.0,51.17741935483871,0.0,0.0,0.0,50.98800032479422,0.0,53.9,0.0,0.0,52.99840106386127,63.0,47.0,0.0,49.837356762750915,42.53574206647418,0.0,0.0,48.45119857788086,32.08333333333333,0.0,3.979243497670808,25.98960018157959,1.747377622377622,0.0,-4.7839062213897705,50.04879951477051,0.0,9.984375,-10.09375,52.656735839265764,53.6256,50.803199768066406,29.545185,31.0,29.0,0.4433640622042768,0.0
90%,862549042331879.0,2695.7000000000003,24711.1095703125,24711.409765625,22.7998046875,32.85492986917108,9.7578125,24.635250636580732,1641414652.8,1641414993.4,3729.0000000000027,3731.5000000000014,99.0,92.0,41.0,94.82075630252102,2337.5000000000014,23.02080646026644,0.7360057229277385,55.3916035632012,15.688074828662172,88.6384679340938,543.4000000000005,-0.5842053879930895,-4.0040962427854523e-05,56.14653388563546,3.3217755827624544,90.0,384.0,9.012345210280403,0.2202350589315627,54.087011592403336,2.7472032347024182,79.34742719093002,64.70000000000027,0.0,0.0,54.98669408574397,0.5123643578362159,78.26583072100314,6.0,0.00017488918141693043,56.448001861572266,90.0,382.7000000000003,0.014144661816259075,56.378717407961055,90.0371969248965,144.40000000000055,0.0,56.918399810791016,95.59700000000002,0.0,26.04850044250489,54.53183975219727,43.750000000000014,0.0,-0.8484963037634408,54.16559982299805,53.0,99.9140625,-2.0,56.51691377507125,57.1536,55.27199935913086,34.59081890000001,36.0,34.0,1.1212617554858952,0.03
95%,862549042331879.0,2841.35,25945.040234375,25949.584765625,23.6005859375,37.43660402081749,9.7578125,28.079917923325738,1643833736.75,1643835998.25,5007.449999999999,5014.399999999998,100.0,97.0,44.0,98.01466613672497,2765.199999999999,25.208930262578637,0.8365391427703038,56.22030772771388,17.87752734435174,95.22657268170427,755.3999999999996,-0.2495617861945125,0.0,56.68337028789245,4.542534724986928,95.78649276859505,865.3499999999999,23.597138585416413,0.5700057045990634,55.36137496948242,8.648695446548079,87.37575757575762,182.0,0.0,0.0,55.605115695675046,1.7215107645345253,83.19999999999999,22.0,0.011727355065238839,56.918399810791016,96.0,589.0,0.03484786184210517,56.91504668815463,96.87022267206477,343.3499999999999,0.0,57.15359878540039,99.0,0.0,36.61949996948242,56.248079490661624,49.32499999999999,0.0,-0.12642980579328505,54.83279991149902,58.0,99.97000122070312,0.0,56.774099917084754,57.1536,55.97760009765625,36.0,37.0,36.0,1.6341749999999984,0.08
